,Car_name,mileage,dealer_name,Service_ratings,Service_reviews,consumer_ratings,consumer_reviews,price,Ext_color,Int_color,drive_train,fuel_type,transmission,engine
106,2020 Mercedes-Benz GLC 300 Base,"20,820 mi.",Mercedes-Benz of Atlanta Northeast,4.9,"(1,878 reviews)",4.8,(35 reviews),"$45,423", Black , Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
107,2021 Mercedes-Benz AMG GLE 53 Base,"17,870 mi.",RBM of Atlanta,4.9,"(1,013 reviews)",3.6,(16 reviews),"$92,954", Black , Classic Red , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
108,2019 Mercedes-Benz GLA 250 Base 4MATIC,"18,884 mi.",Euro Motorcars Inc,4.6,(587 reviews),4.6,(33 reviews),"$35,881", Polar White , Shara Beige , All-wheel Drive ,E85 Flex Fuel ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
109,2021 Mercedes-Benz C-Class C 300,"16,010 mi.",CAG - Mercedes-Benz of San Juan,4.8,(391 reviews),5.0,(4 reviews),"$42,770", Black , – , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
110,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"19,445 mi.",Mercedes-Benz of Tysons Corner,4.5,(843 reviews),5.0,(10 reviews),"$73,884", Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
111,2019 Mercedes-Benz GLC 300 Base 4MATIC,"18,069 mi.",Mercedes-Benz of Bellevue,4.5,(745 reviews),4.6,(72 reviews),"$40,395", Black , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
112,2021 Mercedes-Benz C-Class C 300 4MATIC,"12,352 mi.",Mercedes-Benz of Westwood,4.5,(426 reviews),5.0,(4 reviews),"$43,653", Gray Metallic , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
113,2021 Mercedes-Benz C-Class C 300,"18,599 mi.",CAG - Mercedes-Benz of San Juan,4.8,(391 reviews),5.0,(4 reviews),"$42,770", – , – , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
114,2021 Mercedes-Benz GLC 300 Base 4MATIC,"19,462 mi.",i.g. Burton Imports,4.7,(27 reviews),4.7,(16 reviews),"$56,900", Burgundy , Silk Beige / Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
115,2021 Mercedes-Benz C-Class C 300 4MATIC,"12,454 mi.",Mercedes-Benz of Chesterfield,4.4,(99 reviews),5.0,(4 reviews),"$40,919", Polar White , Silk Beige , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
