,Car_name,mileage,dealer_name,Service_ratings,Service_reviews,consumer_ratings,consumer_reviews,price,Ext_color,Int_color,drive_train,fuel_type,transmission,engine
424,2018 Subaru Crosstrek 2.0i Premium,61053,NW Group Auto Sales,1.0,2,4.8,343,24921, Crystal White Pearl , Black , All-wheel Drive ,Gasoline ,Automatic CVT,2.0L H4 16V GDI DOHC
425,2021 Honda Pilot Special Edition,22250,Andy Mohr Honda,4.5,216,4.8,63,43969, Steel Sapphire Metallic , Gray , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
426,2015 BMW 328 i,48478,Ferco Motors,3.4,48,4.7,107,15899, White , Brown , Rear-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L 4-Cylinder DOHC 16V Turbocharged
427,2020 Volkswagen Tiguan 2.0T S,34076,Shottenkirk Toyota of Weatherford,4.2,1630,4.7,59,22617, Pure White , Titan Black , Front-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
428,2021 Chrysler 300 S,19229,Auto Boutique,4.8,1047,5.0,3,30000, Gloss Black , Black , Rear-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
429,2020 Jeep Cherokee Limited,12286,Eide Chrysler,4.7,202,4.8,152,32000, Granite Crystal Clearcoat Metallic , Black , Four-wheel Drive ,Gasoline ,9-Speed Automatic,3.2L V6 24V MPFI DOHC
430,2021 Subaru Forester Sport,10859,AutoSavvy Boise,4.6,96,4.9,109,29500, Ice Silver Metallic , Gray , All-wheel Drive ,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC
431,2017 Acura MDX 3.5L,57107,Frank Leta Acura,4.6,383,4.6,133,31895, Crystal Black Pearl , Parchment , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
432,2018 Ford F-150 Lariat,32929,Giant Chevrolet,4.8,131,4.8,816,49985, Shadow Black , Black , Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo
433,2020 Nissan Murano SV,41010,EchoPark Automotive Johnson City Delivery Center,3.7,3,4.9,76,27289, Deep Blue Pearl , Graphite , Front-wheel Drive ,Gasoline ,Automatic CVT,3.5L V6 24V MPFI DOHC
